product_name,product_url,objects_extracted
Ankle Socks for Men & Women,https://m.media-amazon.com/images/I/81CdTxYMb5L._AC_UL480_FMwebp_QL65_.jpg,"['Sock', 'Sock']"
5 Pairs Cotton Sports Ankle Socks for Men,https://m.media-amazon.com/images/I/61Ikv+ZkHnL._AC_UL480_FMwebp_QL65_.jpg,"['Sock', 'Sock', 'Sock', 'Sock', 'Sock', 'Clothing']"
Navy Dotted Tie For Men,https://m.media-amazon.com/images/I/61FBnxZnSKL._AC_UL480_FMwebp_QL65_.jpg,['Tie']
Pasiley Tie For Men,https://m.media-amazon.com/images/I/61gAw323f6L._AC_UL480_FMwebp_QL65_.jpg,['Tie']
Floral Tie For Men,https://m.media-amazon.com/images/I/61JqlaY97SL._AC_UL480_FMwebp_QL65_.jpg,['Tie']
Men's Check Micro Wooven Silk Necktie Gift Set With Pocket,https://m.media-amazon.com/images/I/81svTVP8BQL._AC_UL480_FMwebp_QL65_.jpg,"['Tie', 'Shoe']"
Men's Black Neck Tie Matte Finish Microfiber Formal Gift,https://m.media-amazon.com/images/I/715ZdQrugkL._AC_UL480_FMwebp_QL65_.jpg,['Tie']
Leader Spyder 27.5T MTB Cycle/Bike,https://m.media-amazon.com/images/I/81y9uUq1lnL._AC_UY327_FMwebp_QL65_.jpg,"['Tire', 'Tire', 'Wheel', 'Bicycle wheel', 'Bicycle wheel', 'Wheel', 'Wheel']"
Leader Scout MTB 26T Mountain Bicycle/Bike,https://m.media-amazon.com/images/I/81wGn2TQJeL._AC_UY327_FMwebp_QL65_.jpg,"['Tire', 'Tire', 'Bicycle', 'Wheel', 'Bicycle wheel', 'Wheel', 'Bicycle wheel', 'Wheel']"
Urban Terrain Galaxy Pro High Performance Mountain Cycles,https://m.media-amazon.com/images/I/61Z2ibSEOxL._AC_UY327_FMwebp_QL65_.jpg,"['Tire', 'Tire', 'Bicycle wheel', 'Bicycle wheel', 'Wheel', 'Wheel', 'Bicycle']"
Urban Terrain Galaxy High Performance Mountain Cycles,https://m.media-amazon.com/images/I/61QWH8VYIuL._AC_UY327_FMwebp_QL65_.jpg,"['Tire', 'Tire', 'Wheel', 'Bicycle wheel', 'Bicycle wheel', 'Wheel', 'Wheel']"
Avon Buke Bicycles Thrust 26T MTB Cycle for Adults,https://m.media-amazon.com/images/I/61arPQZLNML._AC_UY327_FMwebp_QL65_.jpg,"['Tire', 'Tire', 'Bicycle wheel', 'Bicycle wheel']"
